resale_price,lease_remain_years,bhk,floor,address_encoded_numeric
338000.0,54,3,11.0,20
340000.0,54,3,5.0,20
340000.0,55,3,8.0,20
345000.0,55,3,5.0,20
345000.0,56,3,11.0,20
355000.0,57,3,2.0,20
371000.0,54,3,5.0,20
375000.0,55,3,11.0,20
385000.0,59,3,8.0,20
399000.0,54,3,11.0,20
435000.0,54,4,11.0,20
532000.0,55,4,2.0,20
552000.0,55,4,5.0,20
595000.0,55,5,8.0,20
675000.0,55,5,8.0,20
235000.0,47,2,5.0,20
260000.0,62,2,5.0,20
210000.0,44,3,2.0,20
258000.0,45,3,5.0,20
270000.0,45,3,2.0,20
275000.0,43,3,5.0,20
275000.0,48,3,8.0,20
280000.0,53,3,5.0,20
282000.0,43,3,8.0,20
298000.0,53,3,2.0,20
298000.0,53,3,5.0,20
300000.0,58,3,2.0,20
313000.0,52,3,2.0,20
318000.0,53,3,11.0,20
320000.0,54,3,11.0,20
330000.0,61,3,8.0,20
340000.0,59,3,2.0,20
358888.0,62,3,11.0,20
363888.0,53,3,8.0,20
385000.0,52,3,5.0,20
403888.0,57,3,2.0,20
410000.0,57,3,11.0,20
475000.0,82,3,17.0,20
380000.0,51,4,2.0,20
398000.0,51,4,5.0,20
425000.0,65,4,8.0,20
480000.0,53,4,8.0,20
555500.0,52,4,11.0,20
575000.0,45,4,2.0,20
678000.0,74,4,8.0,20
525000.0,59,5,2.0,20
590000.0,56,5,20.0,20
672000.0,52,5,11.0,20
788000.0,76,5,2.0,20
790000.0,81,5,17.0,20
262000.0,54,3,2.0,20
268000.0,51,3,8.0,20
280000.0,62,3,2.0,20
288500.0,59,3,2.0,20
290000.0,58,3,2.0,20
294000.0,58,3,2.0,20
298000.0,59,3,8.0,20
300000.0,60,3,5.0,20
300000.0,59,3,8.0,20
300000.0,59,3,11.0,20
300000.0,63,3,8.0,20
310000.0,61,3,5.0,20
311000.0,62,3,5.0,20
313000.0,59,3,11.0,20
315000.0,59,3,2.0,20
315000.0,58,3,5.0,20
